initiative_id,month,licensed_users,planned_active_users,active_users,adoption_rate,interactions,transactions,transaction_type,gpu_hours
AI-001,2025-09,120,0,0,0.0,11160,2009,support cases handled,260.0
AI-001,2025-10,120,0,0,0.0,11160,2009,support cases handled,260.0
AI-001,2025-11,2400,510,506,0.211,154563,27821,support cases handled,199.1
AI-001,2025-12,2400,1020,1051,0.4381,336260,60527,support cases handled,362.6
AI-001,2026-01,2400,1530,1613,0.6722,487006,87661,support cases handled,498.3
AI-001,2026-02,2400,2040,1978,0.8242,636535,114576,support cases handled,632.9
AI-001,2026-03,2400,2040,2130,0.8873,639694,115145,support cases handled,635.7
AI-001,2026-04,2400,2040,2154,0.8975,670470,120685,support cases handled,663.4
AI-001,2026-05,2400,2040,2034,0.8475,621332,111840,support cases handled,619.2
AI-001,2026-06,2400,2040,2151,0.8962,673169,121170,support cases handled,665.9
AI-001,2026-07,2400,2040,2170,0.9042,653129,117563,support cases handled,647.8
AI-001,2026-08,2400,2040,2188,0.9118,697598,125568,support cases handled,687.8
AI-002,2025-09,45,0,0,0.0,1620,32,forecast runs,255.7
AI-002,2025-10,45,0,0,0.0,1620,32,forecast runs,255.7
AI-002,2025-11,45,0,0,0.0,1620,32,forecast runs,255.7
AI-002,2025-12,45,180,0,0.0,1620,32,forecast runs,255.7
AI-002,2026-01,900,360,153,0.1704,18623,372,forecast runs,125.2
AI-002,2026-02,900,540,327,0.3635,39259,785,forecast runs,197.4
AI-002,2026-03,900,720,494,0.549,61318,1226,forecast runs,274.6
AI-002,2026-04,900,720,649,0.7211,77030,1541,forecast runs,329.6
AI-002,2026-05,900,720,645,0.7166,74696,1494,forecast runs,321.4
AI-002,2026-06,900,720,648,0.7197,78922,1578,forecast runs,336.2
AI-002,2026-07,900,720,655,0.7281,78806,1576,forecast runs,335.8
AI-002,2026-08,900,720,650,0.7221,77714,1554,forecast runs,332.0
AI-003,2025-09,55,0,0,0.0,2310,116,planning scenarios,250.7
AI-003,2025-10,55,0,0,0.0,2310,116,planning scenarios,250.7
AI-003,2025-11,55,0,0,0.0,2310,116,planning scenarios,250.7
AI-003,2025-12,55,220,0,0.0,2310,116,planning scenarios,250.7
AI-003,2026-01,55,440,0,0.0,2310,116,planning scenarios,250.7
AI-003,2026-02,1100,660,120,0.1087,16557,828,planning scenarios,65.0
AI-003,2026-03,1100,880,237,0.2156,33642,1682,planning scenarios,70.1
AI-003,2026-04,1100,880,381,0.3464,53171,2659,planning scenarios,76.0
AI-003,2026-05,1100,880,496,0.4507,70723,3536,planning scenarios,81.2
AI-003,2026-06,1100,880,514,0.4672,73179,3659,planning scenarios,82.0
AI-003,2026-07,1100,880,493,0.4481,66328,3316,planning scenarios,79.9
AI-003,2026-08,1100,880,501,0.4555,69183,3459,planning scenarios,80.8
AI-004,2025-10,21,0,0,0.0,1638,573,reconciliations processed,251.3
AI-004,2025-11,21,0,0,0.0,1638,573,reconciliations processed,251.3
AI-004,2025-12,420,94,93,0.2207,24741,8659,reconciliations processed,79.8
AI-004,2026-01,420,189,198,0.4722,50625,17719,reconciliations processed,100.5
AI-004,2026-02,420,284,284,0.6757,72660,25431,reconciliations processed,118.1
AI-004,2026-03,420,378,388,0.9228,98745,34561,reconciliations processed,139.0
AI-004,2026-04,420,378,418,0.9951,110399,38640,reconciliations processed,148.3
AI-004,2026-05,420,378,397,0.9441,102167,35759,reconciliations processed,141.7
AI-004,2026-06,420,378,412,0.981,105990,37096,reconciliations processed,144.8
AI-004,2026-07,420,378,394,0.9388,105823,37038,reconciliations processed,144.7
AI-004,2026-08,420,378,393,0.9363,99472,34815,reconciliations processed,139.6
AI-005,2025-09,900,0,0,0.0,567,567,tickets resolved,250.6
AI-005,2025-10,900,0,0,0.0,567,567,tickets resolved,250.6
AI-005,2025-11,18000,2700,2611,0.145,5495,5495,tickets resolved,66.0
AI-005,2025-12,18000,5400,5382,0.299,10924,10924,tickets resolved,72.0
AI-005,2026-01,18000,8100,8638,0.4799,18411,18411,tickets resolved,80.3
AI-005,2026-02,18000,10800,11381,0.6323,24816,24816,tickets resolved,87.3
AI-005,2026-03,18000,10800,11791,0.655,24677,24677,tickets resolved,87.1
AI-005,2026-04,18000,10800,10752,0.5973,22179,22179,tickets resolved,84.4
AI-005,2026-05,18000,10800,11485,0.638,23902,23902,tickets resolved,86.3
AI-005,2026-06,18000,10800,10809,0.6005,23604,23604,tickets resolved,86.0
AI-005,2026-07,18000,10800,11378,0.6321,23357,23357,tickets resolved,85.7
AI-005,2026-08,18000,10800,10790,0.5994,23103,23103,tickets resolved,85.4
AI-006,2025-10,600,0,0,0.0,6480,6480,questions answered,251.6
AI-006,2025-11,600,0,0,0.0,6480,6480,questions answered,251.6
AI-006,2025-12,600,0,0,0.0,6480,6480,questions answered,251.6
AI-006,2026-01,12000,2100,912,0.076,32291,32291,questions answered,68.1
AI-006,2026-02,12000,4200,1896,0.158,70206,70206,questions answered,77.6
AI-006,2026-03,12000,6300,2885,0.2404,102504,102504,questions answered,85.6
AI-006,2026-04,12000,8400,3820,0.3183,139256,139256,questions answered,94.8
AI-006,2026-05,12000,8400,3617,0.3014,129171,129171,questions answered,92.3
AI-006,2026-06,12000,8400,3856,0.3214,142790,142790,questions answered,95.7
AI-006,2026-07,12000,8400,3752,0.3126,136027,136027,questions answered,94.0
AI-006,2026-08,12000,8400,3849,0.3208,139652,139652,questions answered,94.9
AI-007,2025-09,8,0,0,0.0,2160,1944,alerts triaged,250.8
AI-007,2025-10,8,0,0,0.0,2160,1944,alerts triaged,250.8
AI-007,2025-11,8,0,0,0.0,2160,1944,alerts triaged,250.8
AI-007,2025-12,160,38,38,0.2346,33372,30035,alerts triaged,71.7
AI-007,2026-01,160,76,79,0.4956,72437,65193,alerts triaged,85.4
AI-007,2026-02,160,114,108,0.6776,94582,85124,alerts triaged,93.1
AI-007,2026-03,160,152,149,0.9292,136366,122729,alerts triaged,107.7
AI-007,2026-04,160,152,153,0.9544,134851,121366,alerts triaged,107.2
AI-007,2026-05,160,152,153,0.9542,140862,126776,alerts triaged,109.3
AI-007,2026-06,160,152,150,0.9375,133401,120061,alerts triaged,106.7
AI-007,2026-07,160,152,152,0.951,139600,125640,alerts triaged,108.9
AI-007,2026-08,160,152,153,0.9537,137733,123960,alerts triaged,108.2
AI-008,2025-09,60,0,0,0.0,810,81,workloads optimised,251.6
AI-008,2025-10,60,0,0,0.0,810,81,workloads optimised,251.6
AI-008,2025-11,1200,270,272,0.2269,11934,1193,workloads optimised,83.9
AI-008,2025-12,1200,540,540,0.4496,24952,2495,workloads optimised,109.9
AI-008,2026-01,1200,810,807,0.6723,35029,3503,workloads optimised,130.1
AI-008,2026-02,1200,1080,1102,0.918,51264,5126,workloads optimised,162.5
AI-008,2026-03,1200,1080,1109,0.9242,48310,4831,workloads optimised,156.6
AI-008,2026-04,1200,1080,1098,0.9153,50393,5039,workloads optimised,160.8
