benefit_id,initiative_id,month,benefit_type,business_case_value,measured_value,realised_value,validated_value,driver_volume
AI-001-B1,AI-001,2025-11,cost_savings,158823.53,152092.6,146540.1,5552.5,10863.8
AI-001-B1,AI-001,2025-12,cost_savings,317647.06,315839.94,303759.52,12080.42,22560.0
AI-001-B1,AI-001,2026-01,cost_savings,476470.59,484633.72,464915.79,19717.93,34616.7
AI-001-B1,AI-001,2026-02,cost_savings,635294.12,594242.39,568202.44,26039.95,42445.9
AI-001-B1,AI-001,2026-03,cost_savings,635294.12,639712.52,609229.53,30483.0,45693.8
AI-001-B1,AI-001,2026-04,cost_savings,635294.12,647082.95,613319.31,33763.64,46220.2
AI-001-B1,AI-001,2026-05,cost_savings,635294.12,610988.96,575917.06,35071.9,43642.1
AI-001-B1,AI-001,2026-06,cost_savings,635294.12,646144.85,605229.69,40915.16,46153.2
AI-001-B1,AI-001,2026-07,cost_savings,635294.12,651865.53,606274.99,45590.54,46561.8
AI-001-B1,AI-001,2026-08,cost_savings,635294.12,657396.54,606611.58,50784.96,46956.9
AI-001-B2,AI-001,2025-11,productivity,47058.82,42247.94,36695.45,5552.5,918.4
AI-001-B2,AI-001,2025-12,productivity,94117.65,87733.32,75652.89,12080.42,1907.2
AI-001-B2,AI-001,2026-01,productivity,141176.47,134620.48,114902.55,19717.93,2926.5
AI-001-B2,AI-001,2026-02,productivity,188235.29,165067.33,139027.38,26039.95,3588.4
AI-001-B2,AI-001,2026-03,productivity,188235.29,177697.92,147214.93,30483.0,3863.0
AI-001-B2,AI-001,2026-04,productivity,188235.29,179745.26,145981.62,33763.64,3907.5
AI-001-B2,AI-001,2026-05,productivity,188235.29,169719.15,134647.25,35071.9,3689.5
AI-001-B2,AI-001,2026-06,productivity,188235.29,179484.68,138569.52,40915.16,3901.8
AI-001-B2,AI-001,2026-07,productivity,188235.29,181073.76,135483.22,45590.54,3936.4
AI-001-B2,AI-001,2026-08,productivity,188235.29,182610.15,131825.19,50784.96,3969.8
AI-002-B1,AI-002,2025-12,revenue,80000.0,0.0,0.0,0.0,0.0
AI-002-B1,AI-002,2026-01,revenue,160000.0,69009.57,41784.96,27224.61,69009.6
AI-002-B1,AI-002,2026-02,revenue,240000.0,147242.96,84680.21,62562.75,147243.0
AI-002-B1,AI-002,2026-03,revenue,320000.0,222401.38,119643.54,102757.84,222401.4
AI-002-B1,AI-002,2026-04,revenue,320000.0,292087.17,144310.29,147776.88,292087.2
AI-002-B1,AI-002,2026-05,revenue,320000.0,290278.75,128714.28,161564.47,290278.7
AI-002-B1,AI-002,2026-06,revenue,320000.0,291525.24,112532.58,178992.67,291525.2
AI-002-B1,AI-002,2026-07,revenue,320000.0,294937.88,94927.78,200010.1,294937.9
AI-002-B1,AI-002,2026-08,revenue,320000.0,292517.07,73406.37,219110.7,292517.1
AI-002-B2,AI-002,2025-12,productivity,26666.67,0.0,0.0,0.0,0.0
AI-002-B2,AI-002,2026-01,productivity,53333.33,25424.58,22949.61,2474.96,438.4
AI-002-B2,AI-002,2026-02,productivity,80000.0,54247.4,48559.88,5687.52,935.3
AI-002-B2,AI-002,2026-03,productivity,106666.67,81937.35,72595.73,9341.62,1412.7
AI-002-B2,AI-002,2026-04,productivity,106666.67,107611.06,94176.8,13434.26,1855.4
AI-002-B2,AI-002,2026-05,productivity,106666.67,106944.8,92257.12,14687.68,1843.9
AI-002-B2,AI-002,2026-06,productivity,106666.67,107404.04,91131.98,16272.06,1851.8
AI-002-B2,AI-002,2026-07,productivity,106666.67,108661.32,90478.59,18182.74,1873.5
AI-002-B2,AI-002,2026-08,productivity,106666.67,107769.45,87850.29,19919.15,1858.1
AI-003-B1,AI-003,2025-12,cost_savings,166666.67,0.0,0.0,0.0,0.0
AI-003-B1,AI-003,2026-01,cost_savings,333333.33,0.0,0.0,0.0,0.0
AI-003-B1,AI-003,2026-02,cost_savings,500000.0,69804.3,63660.18,6144.12,69804.3
AI-003-B1,AI-003,2026-03,cost_savings,666666.67,138435.54,125185.38,13250.16,138435.5
AI-003-B1,AI-003,2026-04,cost_savings,666666.67,222389.36,199081.4,23307.95,222389.4
AI-003-B1,AI-003,2026-05,cost_savings,666666.67,289355.29,255992.82,33362.47,289355.3
AI-003-B1,AI-003,2026-06,cost_savings,666666.67,299900.23,261755.72,38144.51,299900.2
AI-003-B1,AI-003,2026-07,cost_savings,666666.67,287683.11,247269.1,40414.0,287683.1
AI-003-B1,AI-003,2026-08,cost_savings,666666.67,292432.18,247055.4,45376.78,292432.2
AI-003-B2,AI-003,2025-12,revenue,83333.33,0.0,0.0,0.0,0.0
AI-003-B2,AI-003,2026-01,revenue,166666.67,0.0,0.0,0.0,0.0
AI-003-B2,AI-003,2026-02,revenue,250000.0,39264.92,33120.8,6144.12,39264.9
AI-003-B2,AI-003,2026-03,revenue,333333.33,77869.99,64619.83,13250.16,77870.0
AI-003-B2,AI-003,2026-04,revenue,333333.33,125094.01,101786.06,23307.95,125094.0
AI-003-B2,AI-003,2026-05,revenue,333333.33,162762.35,129399.88,33362.47,162762.3
AI-003-B2,AI-003,2026-06,revenue,333333.33,168693.88,130549.37,38144.51,168693.9
AI-003-B2,AI-003,2026-07,revenue,333333.33,161821.75,121407.74,40414.0,161821.7
AI-003-B2,AI-003,2026-08,revenue,333333.33,164493.1,119116.32,45376.78,164493.1
AI-004-B1,AI-004,2025-12,productivity,60000.0,59173.15,59173.15,0.0,954.4
AI-004-B1,AI-004,2026-01,productivity,120000.0,126598.13,126598.13,0.0,2041.9
AI-004-B1,AI-004,2026-02,productivity,180000.0,181166.19,181166.19,0.0,2922.0
AI-004-B1,AI-004,2026-03,productivity,240000.0,247403.96,247403.96,0.0,3990.4
AI-004-B1,AI-004,2026-04,productivity,240000.0,266791.58,266791.58,0.0,4303.1
AI-004-B1,AI-004,2026-05,productivity,240000.0,253123.3,253123.3,0.0,4082.6
AI-004-B1,AI-004,2026-06,productivity,240000.0,263011.55,263011.55,0.0,4242.1
AI-004-B1,AI-004,2026-07,productivity,240000.0,251695.86,251695.86,0.0,4059.6
AI-004-B1,AI-004,2026-08,productivity,240000.0,251036.28,251036.28,0.0,4049.0
AI-004-B2,AI-004,2025-12,cost_savings,20000.0,18686.26,18686.26,0.0,18686.3
AI-004-B2,AI-004,2026-01,cost_savings,40000.0,39978.36,39978.36,0.0,39978.4
AI-004-B2,AI-004,2026-02,cost_savings,60000.0,57210.38,57210.38,0.0,57210.4
AI-004-B2,AI-004,2026-03,cost_savings,80000.0,78127.57,78127.57,0.0,78127.6
AI-004-B2,AI-004,2026-04,cost_savings,80000.0,84249.97,84249.97,0.0,84250.0
AI-004-B2,AI-004,2026-05,cost_savings,80000.0,79933.67,79933.67,0.0,79933.7
AI-004-B2,AI-004,2026-06,cost_savings,80000.0,83056.28,83056.28,0.0,83056.3
AI-004-B2,AI-004,2026-07,cost_savings,80000.0,79482.9,79482.9,0.0,79482.9
AI-004-B2,AI-004,2026-08,cost_savings,80000.0,79274.61,79274.61,0.0,79274.6
AI-005-B1,AI-005,2025-11,cost_savings,88235.29,82423.76,80607.48,1816.28,3746.5
AI-005-B1,AI-005,2025-12,cost_savings,176470.59,169916.12,165993.29,3922.83,7723.5
AI-005-B1,AI-005,2026-01,cost_savings,264705.88,272748.66,266050.43,6698.23,12397.7
AI-005-B1,AI-005,2026-02,cost_savings,352941.18,359343.55,349838.89,9504.65,16333.8
AI-005-B1,AI-005,2026-03,cost_savings,352941.18,372282.79,361575.1,10707.68,16921.9
AI-005-B1,AI-005,2026-04,cost_savings,352941.18,339472.52,328780.89,10691.63,15430.6
AI-005-B1,AI-005,2026-05,cost_savings,352941.18,362611.27,350047.59,12563.69,16482.3
AI-005-B1,AI-005,2026-06,cost_savings,352941.18,341289.04,328244.57,13044.47,15513.1
AI-005-B1,AI-005,2026-07,cost_savings,352941.18,359246.75,344081.16,15165.59,16329.4
AI-005-B1,AI-005,2026-08,cost_savings,352941.18,340665.54,324780.6,15884.95,15484.8
AI-005-B2,AI-005,2025-11,productivity,17647.06,13737.29,11921.01,1816.28,361.5
AI-005-B2,AI-005,2025-12,productivity,35294.12,28319.35,24396.52,3922.83,745.2
AI-005-B2,AI-005,2026-01,productivity,52941.18,45458.11,38759.88,6698.23,1196.3
AI-005-B2,AI-005,2026-02,productivity,70588.24,59890.59,50385.94,9504.65,1576.1
AI-005-B2,AI-005,2026-03,productivity,70588.24,62047.13,51339.45,10707.68,1632.8
AI-005-B2,AI-005,2026-04,productivity,70588.24,56578.75,45887.13,10691.63,1488.9
AI-005-B2,AI-005,2026-05,productivity,70588.24,60435.21,47871.53,12563.69,1590.4
