initiative_id,month,cost_category,cost_group,budget_amount
AI-001,2025-09,gpu,Infrastructure,130000.0
AI-001,2025-10,gpu,Infrastructure,130000.0
AI-001,2025-11,gpu,Infrastructure,88400.0
AI-001,2025-12,gpu,Infrastructure,88400.0
AI-001,2026-01,gpu,Infrastructure,88400.0
AI-001,2026-02,gpu,Infrastructure,88400.0
AI-001,2026-03,gpu,Infrastructure,88400.0
AI-001,2026-04,gpu,Infrastructure,88400.0
AI-001,2026-05,gpu,Infrastructure,88400.0
AI-001,2026-06,gpu,Infrastructure,88400.0
AI-001,2026-07,gpu,Infrastructure,88400.0
AI-001,2026-08,gpu,Infrastructure,88400.0
AI-001,2025-09,compute,Infrastructure,47272.73
AI-001,2025-10,compute,Infrastructure,47272.73
AI-001,2025-11,compute,Infrastructure,32145.45
AI-001,2025-12,compute,Infrastructure,32145.45
AI-001,2026-01,compute,Infrastructure,32145.45
AI-001,2026-02,compute,Infrastructure,32145.45
AI-001,2026-03,compute,Infrastructure,32145.45
AI-001,2026-04,compute,Infrastructure,32145.45
AI-001,2026-05,compute,Infrastructure,32145.45
AI-001,2026-06,compute,Infrastructure,32145.45
AI-001,2026-07,compute,Infrastructure,32145.45
AI-001,2026-08,compute,Infrastructure,32145.45
AI-001,2025-09,storage,Infrastructure,41363.64
AI-001,2025-10,storage,Infrastructure,41363.64
AI-001,2025-11,storage,Infrastructure,28127.27
AI-001,2025-12,storage,Infrastructure,28127.27
AI-001,2026-01,storage,Infrastructure,28127.27
AI-001,2026-02,storage,Infrastructure,28127.27
AI-001,2026-03,storage,Infrastructure,28127.27
AI-001,2026-04,storage,Infrastructure,28127.27
AI-001,2026-05,storage,Infrastructure,28127.27
AI-001,2026-06,storage,Infrastructure,28127.27
AI-001,2026-07,storage,Infrastructure,28127.27
AI-001,2026-08,storage,Infrastructure,28127.27
AI-001,2025-09,networking,Infrastructure,23636.36
AI-001,2025-10,networking,Infrastructure,23636.36
AI-001,2025-11,networking,Infrastructure,16072.73
AI-001,2025-12,networking,Infrastructure,16072.73
AI-001,2026-01,networking,Infrastructure,16072.73
AI-001,2026-02,networking,Infrastructure,16072.73
AI-001,2026-03,networking,Infrastructure,16072.73
AI-001,2026-04,networking,Infrastructure,16072.73
AI-001,2026-05,networking,Infrastructure,16072.73
AI-001,2026-06,networking,Infrastructure,16072.73
AI-001,2026-07,networking,Infrastructure,16072.73
AI-001,2026-08,networking,Infrastructure,16072.73
AI-001,2025-09,software,Software,59090.91
AI-001,2025-10,software,Software,59090.91
AI-001,2025-11,software,Software,40181.82
AI-001,2025-12,software,Software,40181.82
AI-001,2026-01,software,Software,40181.82
AI-001,2026-02,software,Software,40181.82
AI-001,2026-03,software,Software,40181.82
AI-001,2026-04,software,Software,40181.82
AI-001,2026-05,software,Software,40181.82
AI-001,2026-06,software,Software,40181.82
AI-001,2026-07,software,Software,40181.82
AI-001,2026-08,software,Software,40181.82
AI-001,2025-09,saas,Software,11818.18
AI-001,2025-10,saas,Software,11818.18
AI-001,2025-11,saas,Software,8036.36
AI-001,2025-12,saas,Software,8036.36
AI-001,2026-01,saas,Software,8036.36
AI-001,2026-02,saas,Software,8036.36
AI-001,2026-03,saas,Software,8036.36
AI-001,2026-04,saas,Software,8036.36
AI-001,2026-05,saas,Software,8036.36
AI-001,2026-06,saas,Software,8036.36
AI-001,2026-07,saas,Software,8036.36
AI-001,2026-08,saas,Software,8036.36
AI-001,2025-09,cloud,Cloud,11818.18
AI-001,2025-10,cloud,Cloud,11818.18
AI-001,2025-11,cloud,Cloud,8036.36
AI-001,2025-12,cloud,Cloud,8036.36
AI-001,2026-01,cloud,Cloud,8036.36
AI-001,2026-02,cloud,Cloud,8036.36
AI-001,2026-03,cloud,Cloud,8036.36
