transaction_id,initiative_id,month,cost_category,cost_group,cost_type,vendor_id,cost_centre_id,amount,description
CT-00001,AI-001,2025-09,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,76077.93,AI Customer Support Copilot: gpu
CT-00002,AI-001,2025-09,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,50718.62,AI Customer Support Copilot: gpu
CT-00003,AI-001,2025-10,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,76307.64,AI Customer Support Copilot: gpu
CT-00004,AI-001,2025-10,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,50871.76,AI Customer Support Copilot: gpu
CT-00005,AI-001,2025-11,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,53999.71,AI Customer Support Copilot: gpu
CT-00006,AI-001,2025-11,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,35999.8,AI Customer Support Copilot: gpu
CT-00007,AI-001,2025-12,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,51713.54,AI Customer Support Copilot: gpu
CT-00008,AI-001,2025-12,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,34475.69,AI Customer Support Copilot: gpu
CT-00009,AI-001,2026-01,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,50510.75,AI Customer Support Copilot: gpu
CT-00010,AI-001,2026-01,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,33673.83,AI Customer Support Copilot: gpu
CT-00011,AI-001,2026-02,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,54078.05,AI Customer Support Copilot: gpu
CT-00012,AI-001,2026-02,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,36052.03,AI Customer Support Copilot: gpu
CT-00013,AI-001,2026-03,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,49796.63,AI Customer Support Copilot: gpu
CT-00014,AI-001,2026-03,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,33197.75,AI Customer Support Copilot: gpu
CT-00015,AI-001,2026-04,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,52418.92,AI Customer Support Copilot: gpu
CT-00016,AI-001,2026-04,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,34945.95,AI Customer Support Copilot: gpu
CT-00017,AI-001,2026-05,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,49044.65,AI Customer Support Copilot: gpu
CT-00018,AI-001,2026-05,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,32696.43,AI Customer Support Copilot: gpu
CT-00019,AI-001,2026-06,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,50626.49,AI Customer Support Copilot: gpu
CT-00020,AI-001,2026-06,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,33750.99,AI Customer Support Copilot: gpu
CT-00021,AI-001,2026-07,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,49036.55,AI Customer Support Copilot: gpu
CT-00022,AI-001,2026-07,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,32691.03,AI Customer Support Copilot: gpu
CT-00023,AI-001,2026-08,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,51228.38,AI Customer Support Copilot: gpu
CT-00024,AI-001,2026-08,gpu,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,34152.25,AI Customer Support Copilot: gpu
CT-00025,AI-001,2025-09,compute,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,44711.81,AI Customer Support Copilot: compute
CT-00026,AI-001,2025-10,compute,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,47147.93,AI Customer Support Copilot: compute
CT-00027,AI-001,2025-11,compute,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,29774.29,AI Customer Support Copilot: compute
CT-00028,AI-001,2025-12,compute,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,29907.88,AI Customer Support Copilot: compute
CT-00029,AI-001,2026-01,compute,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,29259.13,AI Customer Support Copilot: compute
CT-00030,AI-001,2026-02,compute,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,30972.15,AI Customer Support Copilot: compute
CT-00031,AI-001,2026-03,compute,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,28982.24,AI Customer Support Copilot: compute
CT-00032,AI-001,2026-04,compute,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,33228.52,AI Customer Support Copilot: compute
CT-00033,AI-001,2026-05,compute,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,29333.33,AI Customer Support Copilot: compute
CT-00034,AI-001,2026-06,compute,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,29214.2,AI Customer Support Copilot: compute
CT-00035,AI-001,2026-07,compute,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,30564.4,AI Customer Support Copilot: compute
CT-00036,AI-001,2026-08,compute,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,29842.15,AI Customer Support Copilot: compute
CT-00037,AI-001,2025-09,storage,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,37780.34,AI Customer Support Copilot: storage
CT-00038,AI-001,2025-10,storage,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,41833.12,AI Customer Support Copilot: storage
CT-00039,AI-001,2025-11,storage,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,27699.24,AI Customer Support Copilot: storage
CT-00040,AI-001,2025-12,storage,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,27353.9,AI Customer Support Copilot: storage
CT-00041,AI-001,2026-01,storage,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,27994.18,AI Customer Support Copilot: storage
CT-00042,AI-001,2026-02,storage,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,27071.44,AI Customer Support Copilot: storage
CT-00043,AI-001,2026-03,storage,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,25824.22,AI Customer Support Copilot: storage
CT-00044,AI-001,2026-04,storage,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,27283.69,AI Customer Support Copilot: storage
CT-00045,AI-001,2026-05,storage,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,25790.74,AI Customer Support Copilot: storage
CT-00046,AI-001,2026-06,storage,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,25865.8,AI Customer Support Copilot: storage
CT-00047,AI-001,2026-07,storage,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,25798.99,AI Customer Support Copilot: storage
CT-00048,AI-001,2026-08,storage,Infrastructure,programme,V-HPE-INF,CC-CUS-AI,26266.41,AI Customer Support Copilot: storage
CT-00049,AI-001,2025-09,networking,Infrastructure,programme,V-HPE-NET,CC-CUS-AI,22973.07,AI Customer Support Copilot: networking
CT-00050,AI-001,2025-10,networking,Infrastructure,programme,V-HPE-NET,CC-CUS-AI,21824.03,AI Customer Support Copilot: networking
CT-00051,AI-001,2025-11,networking,Infrastructure,programme,V-HPE-NET,CC-CUS-AI,15373.15,AI Customer Support Copilot: networking
CT-00052,AI-001,2025-12,networking,Infrastructure,programme,V-HPE-NET,CC-CUS-AI,15600.39,AI Customer Support Copilot: networking
CT-00053,AI-001,2026-01,networking,Infrastructure,programme,V-HPE-NET,CC-CUS-AI,15961.47,AI Customer Support Copilot: networking
CT-00054,AI-001,2026-02,networking,Infrastructure,programme,V-HPE-NET,CC-CUS-AI,15334.8,AI Customer Support Copilot: networking
CT-00055,AI-001,2026-03,networking,Infrastructure,programme,V-HPE-NET,CC-CUS-AI,15812.79,AI Customer Support Copilot: networking
CT-00056,AI-001,2026-04,networking,Infrastructure,programme,V-HPE-NET,CC-CUS-AI,14548.4,AI Customer Support Copilot: networking
CT-00057,AI-001,2026-05,networking,Infrastructure,programme,V-HPE-NET,CC-CUS-AI,15543.92,AI Customer Support Copilot: networking
CT-00058,AI-001,2026-06,networking,Infrastructure,programme,V-HPE-NET,CC-CUS-AI,16306.91,AI Customer Support Copilot: networking
CT-00059,AI-001,2026-07,networking,Infrastructure,programme,V-HPE-NET,CC-CUS-AI,14599.08,AI Customer Support Copilot: networking
CT-00060,AI-001,2026-08,networking,Infrastructure,programme,V-HPE-NET,CC-CUS-AI,15200.89,AI Customer Support Copilot: networking
CT-00061,AI-001,2025-09,software,Software,programme,V-SW-A,CC-CUS-AI,57688.33,AI Customer Support Copilot: software
CT-00062,AI-001,2025-10,software,Software,programme,V-SW-A,CC-CUS-AI,37016.62,AI Customer Support Copilot: software
CT-00063,AI-001,2025-10,software,Software,programme,V-SW-A,CC-CUS-AI,24677.75,AI Customer Support Copilot: software
CT-00064,AI-001,2025-11,software,Software,programme,V-SW-A,CC-CUS-AI,37882.73,AI Customer Support Copilot: software
CT-00065,AI-001,2025-12,software,Software,programme,V-SW-A,CC-CUS-AI,36877.41,AI Customer Support Copilot: software
CT-00066,AI-001,2026-01,software,Software,programme,V-SW-A,CC-CUS-AI,38300.96,AI Customer Support Copilot: software
CT-00067,AI-001,2026-02,software,Software,programme,V-SW-A,CC-CUS-AI,37292.55,AI Customer Support Copilot: software
CT-00068,AI-001,2026-03,software,Software,programme,V-SW-A,CC-CUS-AI,38505.11,AI Customer Support Copilot: software
CT-00069,AI-001,2026-04,software,Software,programme,V-SW-A,CC-CUS-AI,35996.85,AI Customer Support Copilot: software
CT-00070,AI-001,2026-05,software,Software,programme,V-SW-A,CC-CUS-AI,38179.41,AI Customer Support Copilot: software
CT-00071,AI-001,2026-06,software,Software,programme,V-SW-A,CC-CUS-AI,39303.73,AI Customer Support Copilot: software
CT-00072,AI-001,2026-07,software,Software,programme,V-SW-A,CC-CUS-AI,38753.87,AI Customer Support Copilot: software
CT-00073,AI-001,2026-08,software,Software,programme,V-SW-A,CC-CUS-AI,40607.64,AI Customer Support Copilot: software
CT-00074,AI-001,2025-09,saas,Software,programme,V-SAAS-B,CC-CUS-AI,11931.78,AI Customer Support Copilot: saas
CT-00075,AI-001,2025-10,saas,Software,programme,V-SAAS-B,CC-CUS-AI,11230.8,AI Customer Support Copilot: saas
CT-00076,AI-001,2025-11,saas,Software,programme,V-SAAS-B,CC-CUS-AI,7803.46,AI Customer Support Copilot: saas
CT-00077,AI-001,2025-12,saas,Software,programme,V-SAAS-B,CC-CUS-AI,8195.1,AI Customer Support Copilot: saas
CT-00078,AI-001,2026-01,saas,Software,programme,V-SAAS-B,CC-CUS-AI,7752.51,AI Customer Support Copilot: saas
CT-00079,AI-001,2026-02,saas,Software,programme,V-SAAS-B,CC-CUS-AI,7696.96,AI Customer Support Copilot: saas
CT-00080,AI-001,2026-03,saas,Software,programme,V-SAAS-B,CC-CUS-AI,8615.32,AI Customer Support Copilot: saas
CT-00081,AI-001,2026-04,saas,Software,programme,V-SAAS-B,CC-CUS-AI,8078.94,AI Customer Support Copilot: saas
CT-00082,AI-001,2026-05,saas,Software,programme,V-SAAS-B,CC-CUS-AI,7299.73,AI Customer Support Copilot: saas
CT-00083,AI-001,2026-06,saas,Software,programme,V-SAAS-B,CC-CUS-AI,7912.32,AI Customer Support Copilot: saas
CT-00084,AI-001,2026-07,saas,Software,programme,V-SAAS-B,CC-CUS-AI,8226.55,AI Customer Support Copilot: saas
CT-00085,AI-001,2026-08,saas,Software,programme,V-SAAS-B,CC-CUS-AI,7620.62,AI Customer Support Copilot: saas
CT-00086,AI-001,2025-09,cloud,Cloud,programme,V-HPE-GL,CC-CUS-AI,11023.01,AI Customer Support Copilot: cloud
CT-00087,AI-001,2025-10,cloud,Cloud,programme,V-HPE-GL,CC-CUS-AI,11527.16,AI Customer Support Copilot: cloud
