month,bu_id,account,amount,ai_programme_spend,ai_attributed_benefit
2024-09,BU-SAL,Revenue,527499437.24,0.0,0.0
2024-09,BU-SCM,Cost of sales,332324645.46,0.0,0.0
2024-09,BU-CUS,Operating expenses,31035157.62,0.0,0.0
2024-09,BU-SAL,Operating expenses,23538754.97,0.0,0.0
2024-09,BU-SCM,Operating expenses,44291564.07,0.0,0.0
2024-09,BU-FIN,Operating expenses,7409239.31,0.0,0.0
2024-09,BU-TEC,Operating expenses,21195436.87,0.0,0.0
2024-09,BU-COR,Operating expenses,11164495.03,0.0,0.0
2024-09,BU-ENG,Operating expenses,26065653.46,0.0,0.0
2024-10,BU-SAL,Revenue,545874028.3,0.0,0.0
2024-10,BU-SCM,Cost of sales,343900637.83,0.0,0.0
2024-10,BU-CUS,Operating expenses,31402617.59,0.0,0.0
2024-10,BU-SAL,Operating expenses,24336438.05,0.0,0.0
2024-10,BU-SCM,Operating expenses,43517705.01,0.0,0.0
2024-10,BU-FIN,Operating expenses,7670042.65,0.0,0.0
2024-10,BU-TEC,Operating expenses,20940978.56,0.0,0.0
2024-10,BU-COR,Operating expenses,10906171.76,0.0,0.0
2024-10,BU-ENG,Operating expenses,26255322.29,0.0,0.0
2024-11,BU-SAL,Revenue,561806278.7,0.0,0.0
2024-11,BU-SCM,Cost of sales,353937955.58,0.0,0.0
2024-11,BU-CUS,Operating expenses,30857527.83,0.0,0.0
2024-11,BU-SAL,Operating expenses,24481525.18,0.0,0.0
2024-11,BU-SCM,Operating expenses,44696727.59,0.0,0.0
2024-11,BU-FIN,Operating expenses,7432067.46,0.0,0.0
2024-11,BU-TEC,Operating expenses,20867791.31,0.0,0.0
2024-11,BU-COR,Operating expenses,11051372.16,0.0,0.0
2024-11,BU-ENG,Operating expenses,26641653.97,0.0,0.0
2024-12,BU-SAL,Revenue,569528500.02,0.0,0.0
2024-12,BU-SCM,Cost of sales,358802955.01,0.0,0.0
2024-12,BU-CUS,Operating expenses,31709211.03,0.0,0.0
2024-12,BU-SAL,Operating expenses,24597313.56,0.0,0.0
2024-12,BU-SCM,Operating expenses,44146318.24,0.0,0.0
2024-12,BU-FIN,Operating expenses,7447660.24,0.0,0.0
2024-12,BU-TEC,Operating expenses,21204199.06,0.0,0.0
2024-12,BU-COR,Operating expenses,11224788.18,0.0,0.0
2024-12,BU-ENG,Operating expenses,26016715.35,0.0,0.0
2025-01,BU-SAL,Revenue,574705801.83,0.0,0.0
2025-01,BU-SCM,Cost of sales,362064655.15,0.0,0.0
2025-01,BU-CUS,Operating expenses,31352006.19,0.0,0.0
2025-01,BU-SAL,Operating expenses,24006915.9,0.0,0.0
2025-01,BU-SCM,Operating expenses,44489128.8,0.0,0.0
2025-01,BU-FIN,Operating expenses,7463812.53,0.0,0.0
2025-01,BU-TEC,Operating expenses,21306930.43,0.0,0.0
2025-01,BU-COR,Operating expenses,11173710.39,0.0,0.0
2025-01,BU-ENG,Operating expenses,26260520.31,0.0,0.0
2025-02,BU-SAL,Revenue,557079877.03,0.0,0.0
2025-02,BU-SCM,Cost of sales,350960322.53,0.0,0.0
2025-02,BU-CUS,Operating expenses,31668136.89,0.0,0.0
2025-02,BU-SAL,Operating expenses,24507308.87,0.0,0.0
2025-02,BU-SCM,Operating expenses,45125698.23,0.0,0.0
2025-02,BU-FIN,Operating expenses,7695844.9,0.0,0.0
2025-02,BU-TEC,Operating expenses,21307791.94,0.0,0.0
2025-02,BU-COR,Operating expenses,11007523.18,0.0,0.0
2025-02,BU-ENG,Operating expenses,26799434.75,0.0,0.0
2025-03,BU-SAL,Revenue,537820235.84,0.0,0.0
2025-03,BU-SCM,Cost of sales,338826748.58,0.0,0.0
2025-03,BU-CUS,Operating expenses,31865691.19,0.0,0.0
2025-03,BU-SAL,Operating expenses,24742307.87,0.0,0.0
2025-03,BU-SCM,Operating expenses,44505226.59,0.0,0.0
2025-03,BU-FIN,Operating expenses,7524115.58,0.0,0.0
2025-03,BU-TEC,Operating expenses,21197215.3,0.0,0.0
2025-03,BU-COR,Operating expenses,11440317.78,0.0,0.0
2025-03,BU-ENG,Operating expenses,26142930.63,0.0,0.0
2025-04,BU-SAL,Revenue,521670886.29,0.0,0.0
2025-04,BU-SCM,Cost of sales,328652658.37,0.0,0.0
2025-04,BU-CUS,Operating expenses,31853009.09,0.0,0.0
2025-04,BU-SAL,Operating expenses,24589347.87,0.0,0.0
2025-04,BU-SCM,Operating expenses,45546733.72,0.0,0.0
2025-04,BU-FIN,Operating expenses,7601866.01,0.0,0.0
2025-04,BU-TEC,Operating expenses,21343940.96,0.0,0.0
2025-04,BU-COR,Operating expenses,11288840.92,0.0,0.0
2025-04,BU-ENG,Operating expenses,26185657.6,0.0,0.0
