funding_id,initiative_id,approval_date,gate,approved_amount,approver
FUND-AI-001-1,AI-001,2025-09-30,Gate 1: build,2340000.0,AI Investment Committee
FUND-AI-001-2,AI-001,2025-12-31,Gate 2: pilot,1820000.0,AI Investment Committee
FUND-AI-001-3,AI-001,2026-03-31,Gate 3: scale,1040000.0,AI Investment Committee
FUND-AI-002-1,AI-002,2025-09-30,Gate 1: build,1260000.0,AI Investment Committee
FUND-AI-002-2,AI-002,2025-12-31,Gate 2: pilot,980000.0,AI Investment Committee
FUND-AI-002-3,AI-002,2026-03-31,Gate 3: scale,560000.0,AI Investment Committee
FUND-AI-003-1,AI-003,2025-09-30,Gate 1: build,3262500.0,AI Investment Committee
FUND-AI-003-2,AI-003,2025-12-31,Gate 2: pilot,2537500.0,AI Investment Committee
FUND-AI-003-3,AI-003,2026-03-31,Gate 3: scale,1450000.0,AI Investment Committee
FUND-AI-004-1,AI-004,2025-09-30,Gate 1: build,855000.0,AI Investment Committee
FUND-AI-004-2,AI-004,2025-12-31,Gate 2: pilot,665000.0,AI Investment Committee
FUND-AI-004-3,AI-004,2026-03-31,Gate 3: scale,380000.0,AI Investment Committee
FUND-AI-005-1,AI-005,2025-09-30,Gate 1: build,945000.0,AI Investment Committee
FUND-AI-005-2,AI-005,2025-12-31,Gate 2: pilot,735000.0,AI Investment Committee
FUND-AI-005-3,AI-005,2026-03-31,Gate 3: scale,420000.0,AI Investment Committee
FUND-AI-006-1,AI-006,2025-09-30,Gate 1: build,1620000.0,AI Investment Committee
FUND-AI-006-2,AI-006,2025-12-31,Gate 2: pilot,1260000.0,AI Investment Committee
FUND-AI-006-3,AI-006,2026-03-31,Gate 3: scale,720000.0,AI Investment Committee
FUND-AI-007-1,AI-007,2025-09-30,Gate 1: build,1350000.0,AI Investment Committee
FUND-AI-007-2,AI-007,2025-12-31,Gate 2: pilot,1050000.0,AI Investment Committee
FUND-AI-007-3,AI-007,2026-03-31,Gate 3: scale,600000.0,AI Investment Committee
FUND-AI-008-1,AI-008,2025-09-30,Gate 1: build,2025000.0,AI Investment Committee
FUND-AI-008-2,AI-008,2025-12-31,Gate 2: pilot,1575000.0,AI Investment Committee
FUND-AI-008-3,AI-008,2026-03-31,Gate 3: scale,900000.0,AI Investment Committee
FUND-AI-009-1,AI-009,2025-09-30,Gate 1: build,1530000.0,AI Investment Committee
FUND-AI-009-2,AI-009,2025-12-31,Gate 2: pilot,1190000.0,AI Investment Committee
FUND-AI-009-3,AI-009,2026-03-31,Gate 3: scale,680000.0,AI Investment Committee
FUND-AI-010-1,AI-010,2025-09-30,Gate 1: build,1485000.0,AI Investment Committee
FUND-AI-010-2,AI-010,2025-12-31,Gate 2: pilot,1155000.0,AI Investment Committee
FUND-AI-010-3,AI-010,2026-03-31,Gate 3: scale,660000.0,AI Investment Committee
FUND-AI-011-1,AI-011,2025-09-30,Gate 1: build,675000.0,AI Investment Committee
FUND-AI-011-2,AI-011,2025-12-31,Gate 2: pilot,525000.0,AI Investment Committee
FUND-AI-011-3,AI-011,2026-03-31,Gate 3: scale,300000.0,AI Investment Committee
FUND-AI-012-1,AI-012,2025-09-30,Gate 1: build,1080000.0,AI Investment Committee
FUND-AI-012-2,AI-012,2025-12-31,Gate 2: pilot,840000.0,AI Investment Committee
FUND-AI-012-3,AI-012,2026-03-31,Gate 3: scale,480000.0,AI Investment Committee
